TxnId,Browser,Device,Transaction_Type,City,State,Status,Merchant,Merchant_Category,Product_Category,Amount,Date and Time,Mode of Payment
TXN21366,Chrome,Android,Sale,Meerut,Uttar Pradesh,Success,DSP Blackrock,Financial Products,Mutual Fund,50945.60462,3/26/2016 10:08,Credit Card
TXN24669,Chrome,Windows Phone,Refund,Bareilly,Uttar Pradesh,Cancelled,HDFC AMC,Financial Products,Mutual Fund,87366.88439,4/9/2016 20:08,Wallet
TXN17022,Safari,Macintosh,Sale,Salem,Tamil Nadu,Success,Apple,Electronics,iPad,133411.535,3/5/2016 12:08,Credit Card
TXN21541,Mobile App,Android,Sale,Begusarai,Bihar,Success,Future Generali,Insurance,Life,88275.91098,3/26/2016 13:08,Credit Card
TXN12261,Safari,iOS,Sale,Bharatpur,Rajasthan,Success,Zomato,Foodtech,Cafe,2945.86622,2/12/2016 12:08,Net Banking
TXN12049,Opera,Android,Refund,Bilaspur,Chattisgarh,Success,AskMeGrocery,Grocery,Grocery,1178.321483,2/11/2016 13:08,Debit Card
TXN10779,UC Browser,Android,Sale,Davanagere,Karnataka,Failed,Big Basket,Grocery,Grocery,17819.22439,2/5/2016 12:08,Wallet
TXN12490,UC Browser,Blackberry,Sale,Arrah,Bihar,Failed,HDFC AMC,Financial Products,Mutual Fund,150248.7,2/13/2016 12:08,Credit Card
TXN13776,IE,Windows PC,Refund,Ambernath,Maharashtra,Cancelled,Swiggy,Foodtech,Cafe,2192.846702,2/19/2016 13:08,Credit Card
TXN19808,Chrome,Android,Sale,Chandrapur,Maharashtra,Success,DSP Blackrock,Financial Products,Mutual Fund,549528.9545,3/18/2016 22:08,Credit Card
TXN15602,Mobile App,Windows Phone,Sale,Kadapa,Andhra Pradesh,Cancelled,One Plus,Electronics,Mobiles,11061.90542,2/27/2016 13:08,Wallet
TXN13340,Mobile App,Windows PC,Sale,Chandrapur,Maharashtra,Success,ICICI Direct,Financial Products,Mutual Fund,179785.4749,2/17/2016 10:08,Credit Card
TXN24399,Opera,Android,Sale,Kanpur,Uttar Pradesh,Failed,Bajaj Allianze Health Insurance,Insurance,Health,48343.743,4/9/2016 11:08,Debit Card
TXN17889,Opera,Windows Phone,Sale,Bharatpur,Rajasthan,Success,Pepperfry,Lifestyle,Furniture,70749.62477,3/9/2016 22:08,Credit Card
TXN21571,Chrome,Windows PC,Refund,North Dumdum,West Bengal,Success,SBI MF,Financial Products,Mutual Fund,125339.3436,3/26/2016 15:08,Debit Card
TXN11387,Mobile App,Android,Sale,Tiruchirappalli,Tamil Nadu,Success,Foodpanda,Foodtech,Cafe,2172.162008,2/7/2016 10:08,Wallet
TXN13194,Safari,Macintosh,Sale,Moradabad,Uttar Pradesh,Success,Dell,Electronics,Desktops,81327.35958,2/15/2016 13:08,Net Banking
TXN24295,Firefox,Windows PC,Sale,Imphal,Manipur,Cancelled,HDFC AMC,Financial Products,Mutual Fund,11268.77038,4/8/2016 18:08,Wallet
TXN11073,Safari,iOS,Sale,Bally,West Bengal,Success,Inox,Ticketing,Cinema,926.1496388,2/6/2016 12:08,Credit Card
TXN23552,Firefox,Windows PC,Sale,Satara,Maharashtra,Success,Foodpanda,Foodtech,Cafe,1844.056383,4/4/2016 12:08,Wallet
TXN16621,UC Browser,Android,Sale,Hapur,Uttar Pradesh,Success,ICICI Direct,Financial Products,Mutual Fund,181929.528,3/3/2016 20:08,Credit Card
TXN23017,Safari,Macintosh,Sale,Bangalore,Karnataka,Success,Reliance Fresh Direct,Grocery,Grocery,2966.260677,4/2/2016 13:08,Credit Card
TXN25533,Mobile App,Windows PC,Sale,Rajpur Sonarpur,West Bengal,Success,Ola Cabs,Travel,Cabs,83.18924775,4/14/2016 20:08,Credit Card
TXN25402,Chrome,Windows PC,Sale,Agra,Uttar Pradesh,Failed,Vodafone,Utility,DTH,1146.54486,4/14/2016 12:08,Wallet
TXN12762,Firefox,Windows PC,Sale,Ichalkaranji,Maharashtra,Success,Baniya Babu.com,Grocery,Grocery,4270.794692,2/13/2016 21:08,Credit Card
TXN16667,Safari,Macintosh,Sale,North Dumdum,West Bengal,Success,AMBN Amro,Financial Products,Mutual Fund,184460.985,3/4/2016 10:08,Debit Card
TXN26118,Chrome,Android,Sale,Visakhapatnam,Andhra Pradesh,Success,Max Life Insurance,Insurance,Life,55181.71684,4/16/2016 18:08,Credit Card
TXN22191,Firefox,Android,Sale,Ranchi,Jharkhand,Success,Reliance Fresh Direct,Grocery,Grocery,619.9700543,3/29/2016 13:08,Wallet
TXN25143,Firefox,Windows Phone,Sale,Bhatpara,West Bengal,Success,Make My Trip,Travel,Air,4887.224876,4/12/2016 10:08,Wallet
TXN12962,IE,Windows PC,Refund,Vijayanagaram,Andhra Pradesh,Failed,Dell,Electronics,Desktops,69968.67734,2/14/2016 13:08,Debit Card
TXN13424,IE,Windows Phone,Sale,Patiala,Punjab,Failed,Samsung,Electronics,Laptops,163792.3613,2/17/2016 18:08,Credit Card
TXN13786,Mobile App,Android,Sale,Dehradun,Uttarakhand,Success,Puma,Lifestyle,Shoes,15355.18036,2/19/2016 13:08,Debit Card
TXN19628,Safari,Macintosh,Refund,Karawal Nagar,Delhi,Cancelled,Puma,Lifestyle,Shoes,5556.711132,3/18/2016 12:08,Net Banking
TXN24120,Chrome,Windows PC,Sale,Tiruchirappalli,Tamil Nadu,Success,Nature Basket,Grocery,Grocery,3829.4235,4/8/2016 12:08,Debit Card
TXN20779,Safari,Macintosh,Sale,Allahabad,Uttar Pradesh,Success,Sony,Electronics,Laptops,114409.5713,3/23/2016 13:08,Credit Card
TXN15065,Safari,Macintosh,Refund,Noida,Uttar Pradesh,Success,Grofers,Grocery,Grocery,4974.418812,2/25/2016 14:08,Net Banking
TXN10280,UC Browser,Android,Sale,Aizawl,Mizoram,Success,Samsung,Electronics,Laptops,90991.384,2/2/2016 13:08,Debit Card
TXN17177,IE,Windows PC,Sale,Mau,Uttar Pradesh,Success,Micromax ,Electronics,TV,44463.00474,3/5/2016 17:08,Debit Card
TXN24149,UC Browser,Windows PC,Sale,Bangalore,Karnataka,Cancelled,Reliance Fresh Direct,Grocery,Grocery,1712.127375,4/8/2016 12:08,Net Banking
TXN18729,UC Browser,Android,Sale,Tiruvottiyur,Tamil Nadu,Success,Dell,Electronics,Desktops,101016.3208,3/13/2016 9:08,Credit Card
TXN20044,UC Browser,Android,Sale,Begusarai,Bihar,Success,Scootsy,Foodtech,Cafe,60.50726479,3/19/2016 13:08,Debit Card
TXN14952,Chrome,Windows PC,Sale,Tiruchirappalli,Tamil Nadu,Success,Reliance Fresh Direct,Grocery,Grocery,2662.5375,2/25/2016 10:08,Credit Card
TXN15986,Mobile App,Android,Sale,Navi Mumbai,Maharashtra,Success,Uber,Travel,Cabs,3379.778092,2/28/2016 14:08,Credit Card
TXN17807,Firefox,Windows PC,Sale,Chennai,Tamil Nadu,Cancelled,Zomato,Foodtech,Cafe,2456.194021,3/9/2016 13:08,Debit Card
TXN20221,UC Browser,Windows PC,Sale,Bharatpur,Rajasthan,Failed,Ola Cabs,Travel,Cabs,1502,3/20/2016 12:08,Wallet
TXN20012,Mobile App,Windows PC,Sale,Chennai,Tamil Nadu,Success,HDFC AMC,Financial Products,Mutual Fund,158834.2534,3/19/2016 13:08,Credit Card
TXN13394,UC Browser,Windows Phone,Sale,Bihar Sharif,Bihar,Success,Nature Basket,Grocery,Grocery,9442.05255,2/17/2016 13:08,Credit Card
TXN21123,Mobile App,Windows Phone,Sale,Amaravati,Andhra Pradesh,Failed,Pepperfry,Lifestyle,Furniture,85639.83567,3/25/2016 12:08,Wallet
TXN22766,UC Browser,Windows Phone,Sale,Etawah,Uttar Pradesh,Success,AskMeGrocery,Grocery,Grocery,2617.340532,4/1/2016 15:08,Credit Card
TXN23043,UC Browser,Android,Sale,Kakinada,Andhra Pradesh,Success,Foodpanda,Foodtech,Cafe,4079.713508,4/2/2016 13:08,Wallet
TXN20645,Opera,Android,Refund,Bijapur,Karnataka,Success,Zomato,Foodtech,Cafe,1336.770016,3/22/2016 12:08,Debit Card
TXN14418,Chrome,Android,Sale,Nizamabad,Telangana,Success,Zomato,Foodtech,Cafe,2325.834,2/21/2016 13:08,Credit Card
TXN22096,Opera,Android,Sale,Dehradun,Uttarakhand,Success,Amity University,Education,Online Course,29877.59093,3/28/2016 18:08,Debit Card
TXN13849,Mobile App,Windows Phone,Sale,South Dumdum,West Bengal,Cancelled,Pepperfry,Lifestyle,Furniture,65594.6424,2/19/2016 18:08,Credit Card
TXN19902,Firefox,Android,Sale,Aizawl,Mizoram,Failed,Dell,Electronics,Desktops,200939.2716,3/19/2016 12:08,Wallet
TXN18927,UC Browser,Android,Sale,Tirupati,Andhra Pradesh,Success,Future Generali,Insurance,Life,32634.7056,3/13/2016 18:08,Credit Card
TXN17718,Opera,Android,Sale,Rajpur Sonarpur,West Bengal,Success,Apple,Electronics,iPad,168529.8268,3/8/2016 13:08,Debit Card
TXN24268,Chrome,iOS,Sale,Aizawl,Mizoram,Success,Samsung,Electronics,Laptops,93786.21315,4/8/2016 15:08,Debit Card
TXN11917,UC Browser,Windows Phone,Sale,Tumkur,Karnataka,Success,Dish TV,Utility,DTH,1340.64,2/10/2016 14:08,Wallet
TXN20370,UC Browser,Windows PC,Sale,Rajahmundry,Andhra Pradesh,Failed,One Plus,Electronics,Mobiles,13364.4973,3/20/2016 13:08,Debit Card
TXN22624,Mobile App,Windows PC,Sale,Hubballi-Dharwad,Karnataka,Success,NIIT,Education,Online Course,149351.6596,4/1/2016 12:08,Credit Card
TXN24088,Chrome,Windows PC,Refund,Dewas,Madhya Pradesh,Success,Sony,Electronics,Laptops,44940.15549,4/8/2016 1:08,Wallet
TXN25658,IE,Windows Phone,Sale,Bhilai,Chattisgarh,Success,Reliance Fresh Direct,Grocery,Grocery,7684.333272,4/15/2016 12:08,Debit Card
TXN23079,Firefox,Windows PC,Sale,Nanded,Maharashtra,Failed,Pepperfry,Lifestyle,Furniture,202360.7176,4/2/2016 15:08,Credit Card
TXN26412,Firefox,Android,Sale,Barasat,West Bengal,Success,Dish TV,Utility,DTH,861.8822444,4/17/2016 18:08,Debit Card
TXN18312,Firefox,Windows PC,Sale,Anantapur,Andhra Pradesh,Success,DSP Blackrock,Financial Products,Mutual Fund,134570.7025,3/11/2016 18:08,Net Banking
TXN12996,UC Browser,Windows PC,Sale,Gaya,Bihar,Cancelled,Tata Sky,Utility,DTH,384.099975,2/14/2016 14:08,Wallet
TXN10426,IE,Windows PC,Sale,Satna,Madhya Pradesh,Success,Zomato,Foodtech,Cafe,832.325927,2/3/2016 21:08,Credit Card
TXN26175,Safari,Macintosh,Sale,Chandigarh,Punjab,Cancelled,Tata Sky,Utility,DTH,913.8754075,4/16/2016 22:08,Debit Card
TXN17884,Chrome,Windows PC,Sale,Nellore,Andhra Pradesh,Success,Inox,Ticketing,Cinema,709.7948747,3/9/2016 22:08,Debit Card
TXN20269,UC Browser,Windows PC,Sale,New Delhi,Delhi,Success,Pepperfry,Lifestyle,Furniture,99440.34912,3/20/2016 12:08,Credit Card
TXN10609,Firefox,Android,Sale,Rohtak,Haryana,Cancelled,SBI MF,Financial Products,Mutual Fund,124046.745,2/4/2016 18:08,Credit Card
TXN17946,Chrome,Windows Phone,Refund,Rourkela,Orissa,Success,Go Ibibo,Travel,Air,5001.239483,3/10/2016 12:08,Debit Card
TXN19607,Mobile App,Windows PC,Sale,Ahmednagar,Maharashtra,Failed,Go Ibibo,Travel,Air,3728.930727,3/18/2016 12:08,Wallet
TXN24359,IE,Windows PC,Sale,Ratlam,Madhya Pradesh,Success,Puma,Lifestyle,Shoes,1791,4/9/2016 9:08,Credit Card
TXN21280,Chrome,Windows PC,Sale,Sri Ganganagar,Rajasthan,Success,Scootsy,Foodtech,Cafe,2326.275,3/25/2016 18:08,Net Banking
TXN17621,UC Browser,Android,Sale,Anantapur,Andhra Pradesh,Cancelled,UTI,Financial Products,Mutual Fund,79202.85163,3/7/2016 13:08,Debit Card
TXN20909,Safari,Macintosh,Sale,Faridabad,Haryana,Success,Max Life Insurance,Insurance,Life,50753.71592,3/24/2016 12:08,Net Banking
TXN25633,Chrome,Windows PC,Sale,Chennai,Tamil Nadu,Success,Scootsy,Foodtech,Cafe,1277.664669,4/15/2016 12:08,Wallet
TXN10843,Chrome,Android,Refund,Bhopal,Madhya Pradesh,Cancelled,Apple,Electronics,iPad,338988.3846,2/5/2016 13:08,Debit Card
TXN24529,UC Browser,Android,Sale,Faridabad,Haryana,Cancelled,Nature Basket,Grocery,Grocery,9179.600441,4/9/2016 13:08,Credit Card
TXN21844,Chrome,Android,Sale,Faridabad,Haryana,Success,Religare Heath Insurance,Insurance,Health,29928.64037,3/27/2016 13:08,Credit Card
TXN22936,IE,Windows PC,Sale,Rajpur Sonarpur,West Bengal,Cancelled,Ola Cabs,Travel,Cabs,75.4551,4/2/2016 12:08,Credit Card
TXN24572,IE,Windows PC,Sale,Rajkot,Gujarat,Cancelled,One Plus,Electronics,Mobiles,11187.66742,4/9/2016 13:08,Debit Card
TXN23270,Mobile App,Windows PC,Sale,Imphal,Manipur,Cancelled,HDFC AMC,Financial Products,Mutual Fund,10536.30031,4/3/2016 12:08,Debit Card
TXN10463,Mobile App,Android,Sale,Delhi,Delhi,Failed,Religare Heath Insurance,Insurance,Health,73209.85737,2/4/2016 10:08,Debit Card
TXN12791,UC Browser,Android,Sale,Ichalkaranji,Maharashtra,Success,Baniya Babu.com,Grocery,Grocery,7093.361426,2/13/2016 23:08,Credit Card
TXN23185,Opera,Android,Refund,Bhatpara,West Bengal,Success,Inox,Ticketing,Cinema,192.7695672,4/2/2016 23:08,Debit Card
TXN18345,Chrome,Android,Refund,Durg,Chattisgarh,Success,NIIT,Education,Online Course,53295.23984,3/11/2016 21:08,Credit Card
TXN11811,Chrome,Android,Sale,Itanagar,Arunachal Pradesh,Success,Zomato,Foodtech,Cafe,518.7391714,2/9/2016 20:08,Credit Card
TXN13482,Mobile App,Windows PC,Sale,Anantapur,Andhra Pradesh,Success,Go Ibibo,Travel,Air,5596.97796,2/18/2016 12:08,Net Banking
TXN12112,Opera,Android,Sale,Bokaro,Jharkhand,Success,Baniya Babu.com,Grocery,Grocery,3461.943665,2/11/2016 15:08,Debit Card
TXN12047,UC Browser,Android,Sale,Satara,Maharashtra,Success,Book My Show,Ticketing,Cinema,3058.644136,2/11/2016 13:08,Wallet
TXN10189,Mobile App,Windows Phone,Sale,Amaravati,Andhra Pradesh,Success,Ola Cabs,Travel,Cabs,779.7122635,2/1/2016 13:08,Debit Card
TXN14354,Chrome,Windows PC,Refund,Bokaro,Jharkhand,Success,Max Life Insurance,Insurance,Life,10097.21042,2/21/2016 12:08,Credit Card
TXN15175,Safari,Macintosh,Sale,Shimla,Himachal Pradesh,Success,Inox,Ticketing,Cinema,442.26,2/26/2016 12:08,Credit Card
TXN26451,Safari,Macintosh,Refund,Ghaziabad,Uttar Pradesh,Success,DSP Blackrock,Financial Products,Mutual Fund,108274.7138,4/17/2016 20:08,Debit Card
TXN22669,IE,Windows PC,Sale,Korba,Chattisgarh,Cancelled,Fossil,Lifestyle,Watches,13913.21275,4/1/2016 12:08,Net Banking
TXN16311,Firefox,Windows Phone,Refund,Asansol,West Bengal,Success,Dish TV,Utility,DTH,2908.129723,3/1/2016 20:08,Net Banking
TXN21749,Firefox,Android,Refund,Kalyan-Dombivali,Maharashtra,Success,Nike,Lifestyle,Shoes,14935.54173,3/27/2016 12:08,Wallet
TXN12452,Firefox,Android,Sale,Darbhanga,Bihar,Failed,Tata Sky,Utility,DTH,596.99052,2/13/2016 9:08,Debit Card
TXN24945,Chrome,Windows PC,Sale,Ujjain,Madhya Pradesh,Success,Amity University,Education,Online Course,54729.62751,4/10/2016 18:08,Debit Card
TXN11690,Chrome,Android,Sale,Faridabad,Haryana,Success,Nature Basket,Grocery,Grocery,9179.600441,2/8/2016 13:08,Credit Card
TXN17237,Safari,Macintosh,Sale,Farrukhabad,Uttar Pradesh,Failed,Puma,Lifestyle,Shoes,9621.352125,3/5/2016 21:08,Net Banking
TXN24702,Opera,Windows Phone,Sale,Tumkur,Karnataka,Cancelled,Vodafone,Utility,DTH,177.7070138,4/9/2016 23:08,Credit Card
TXN10541,Chrome,Android,Sale,Delhi,Delhi,Success,Zomato,Foodtech,Cafe,6055.538227,2/4/2016 13:08,Debit Card
TXN18611,Firefox,Android,Refund,Pune,Maharashtra,Success,Uber,Travel,Cabs,1153.142063,3/12/2016 17:08,Wallet
TXN22341,Chrome,Windows PC,Sale,Nagpur,Maharashtra,Success,Inox,Ticketing,Cinema,911.2575967,3/30/2016 21:08,Wallet
TXN25240,Safari,Macintosh,Refund,Durgapur,West Bengal,Success,Future Generali,Insurance,Life,115250.8403,4/13/2016 12:08,Wallet
TXN16691,UC Browser,Windows PC,Sale,Purnia,Bihar,Success,Future Generali,Insurance,Life,78271.69148,3/4/2016 12:08,Debit Card
TXN25731,Chrome,Android,Refund,Nagpur,Maharashtra,Success,Inox,Ticketing,Cinema,2260.097006,4/15/2016 13:08,Credit Card
TXN20618,Opera,Windows Phone,Sale,Mathura,Uttar Pradesh,Success,LIC ,Insurance,Life,61099.16993,3/21/2016 21:08,Credit Card
TXN23477,UC Browser,Windows Phone,Sale,Rajpur Sonarpur,West Bengal,Success,Micromax ,Electronics,TV,54937.70621,4/3/2016 20:08,Credit Card
TXN16379,Firefox,Windows PC,Refund,Bharatpur,Rajasthan,Success,Nature Basket,Grocery,Grocery,13208.35131,3/2/2016 13:08,Debit Card
TXN24516,Safari,Macintosh,Sale,Shimla,Himachal Pradesh,Failed,Puma,Lifestyle,Shoes,21137.6537,4/9/2016 13:08,Wallet
TXN20345,Chrome,Windows PC,Sale,Shimla,Himachal Pradesh,Success,Inox,Ticketing,Cinema,246.599477,3/20/2016 13:08,Net Banking
TXN24574,Mobile App,Windows Phone,Sale,Hubballi-Dharwad,Karnataka,Failed,Dish TV,Utility,DTH,973.6431033,4/9/2016 13:08,Net Banking
TXN17781,Firefox,Windows PC,Sale,Cuttack,Orissa,Success,DSP Blackrock,Financial Products,Mutual Fund,237245.8647,3/9/2016 12:08,Debit Card
TXN17558,Chrome,iOS,Refund,Bihar Sharif,Bihar,Success,Ola Cabs,Travel,Cabs,814.0944273,3/7/2016 12:08,Credit Card
TXN25851,Firefox,Windows PC,Sale,Gorakhpur,Uttar Pradesh,Success,One Plus,Electronics,Mobiles,2577.906408,4/16/2016 0:08,Wallet
TXN14365,Chrome,Windows PC,Refund,Navi Mumbai,Maharashtra,Success,Fossil,Lifestyle,Watches,149058.5045,2/21/2016 12:08,Net Banking
TXN12664,Firefox,Windows PC,Sale,Chandigarh,Punjab,Cancelled,Scootsy,Foodtech,Cafe,1430.124908,2/13/2016 14:08,Debit Card
TXN10166,Opera,Android,Refund,Etawah,Uttar Pradesh,Success,Baniya Babu.com,Grocery,Grocery,1031.673981,2/1/2016 13:08,Debit Card
TXN10731,Firefox,Android,Refund,Satna,Madhya Pradesh,Success,LIC ,Insurance,Life,100856.9544,2/5/2016 12:08,Debit Card
TXN10386,Chrome,Android,Sale,Warangal,Telangana,Success,Amity University,Education,Online Course,170047.6646,2/3/2016 13:08,Credit Card
TXN14886,Mobile App,iOS,Sale,Anantapur,Andhra Pradesh,Success,Scootsy,Foodtech,Cafe,4362.913824,2/24/2016 13:08,Net Banking
TXN20738,Mobile App,Windows Phone,Sale,Ghaziabad,Uttar Pradesh,Success,Religare Heath Insurance,Insurance,Health,27619.4927,3/23/2016 12:08,Net Banking
TXN10637,Opera,Android,Sale,Thiruvananthapuram,Kerala,Success,Samsung,Electronics,Laptops,171157.2509,2/4/2016 20:08,Debit Card
TXN18765,Opera,Android,Sale,Rohtak,Haryana,Cancelled,AskMeGrocery,Grocery,Grocery,6038.8902,3/13/2016 12:08,Debit Card
TXN10908,Firefox,Android,Sale,Itanagar,Arunachal Pradesh,Success,Idea,Utility,DTH,2613.730324,2/5/2016 18:08,Net Banking
TXN24473,Firefox,Windows PC,Sale,Barasat,West Bengal,Success,Religare Heath Insurance,Insurance,Health,16826.07867,4/9/2016 12:08,Credit Card
TXN25729,IE,Windows Phone,Sale,Bharatpur,Rajasthan,Failed,Samsung,Electronics,Laptops,118720.6833,4/15/2016 13:08,Credit Card
TXN25070,Mobile App,Windows PC,Sale,Sri Ganganagar,Rajasthan,Cancelled,Idea,Utility,DTH,658.1925,4/11/2016 13:08,Debit Card
TXN21395,Chrome,Android,Sale,Ranchi,Jharkhand,Cancelled,DSP Blackrock,Financial Products,Mutual Fund,96563.09837,3/26/2016 12:08,Credit Card
TXN11993,Chrome,Android,Sale,Tiruvottiyur,Tamil Nadu,Success,ICICI Direct,Financial Products,Mutual Fund,96702.039,2/11/2016 12:08,Credit Card
TXN19823,Mobile App,Windows Phone,Sale,Bokaro,Jharkhand,Failed,Big Basket,Grocery,Grocery,5667.165,3/19/2016 9:08,Credit Card
TXN23147,Opera,Windows Phone,Sale,Visakhapatnam,Andhra Pradesh,Success,Bajaj Allianze Health Insurance,Insurance,Health,66278.53771,4/2/2016 21:08,Debit Card
TXN12775,Firefox,Android,Refund,Panihati,West Bengal,Success,NIIT,Education,Online Course,177903.408,2/13/2016 22:08,Wallet
TXN10313,Opera,Blackberry,Refund,Rourkela,Orissa,Success,HDFC AMC,Financial Products,Mutual Fund,239908.3394,2/2/2016 22:08,Credit Card
TXN18378,Chrome,Windows PC,Sale,Mira-Bhayandar,Maharashtra,Cancelled,Puma,Lifestyle,Shoes,7484.584244,3/12/2016 10:08,Wallet
TXN15960,Safari,Macintosh,Sale,Itanagar,Arunachal Pradesh,Success,One Plus,Electronics,Mobiles,7201.913355,2/28/2016 13:08,Debit Card
TXN25591,IE,Windows Phone,Sale,Gurgaon,Haryana,Success,NIIT,Education,Online Course,16894.46723,4/15/2016 10:08,Debit Card
TXN12494,Opera,Blackberry,Sale,Bihar Sharif,Bihar,Success,Pepperfry,Lifestyle,Furniture,82900.125,2/13/2016 12:08,Wallet
TXN26243,Firefox,Android,Sale,Tirupati,Andhra Pradesh,Success,Samsung,Electronics,Laptops,190932.1351,4/17/2016 12:08,Debit Card
TXN15260,Chrome,Windows PC,Refund,Thiruvananthapuram,Kerala,Success,Micromax ,Electronics,TV,49375.2222,2/26/2016 13:08,Credit Card
TXN18506,Firefox,Windows PC,Sale,Chandigarh,Punjab,Success,Tata Sky,Utility,DTH,1120.895213,3/12/2016 13:08,Credit Card
TXN20459,Safari,Macintosh,Sale,Nizamabad,Telangana,Success,Scootsy,Foodtech,Cafe,3288.414564,3/20/2016 21:08,Credit Card
TXN22487,IE,Windows Phone,Sale,Chandrapur,Maharashtra,Success,Pepperfry,Lifestyle,Furniture,35555.65547,3/31/2016 14:08,Wallet
TXN20752,Chrome,Android,Sale,Karawal Nagar,Delhi,Success,Idea,Utility,DTH,1451.415389,3/23/2016 13:08,Credit Card
TXN17093,IE,Windows Phone,Sale,Nashik,Maharashtra,Cancelled,Future Generali,Insurance,Life,60550.68834,3/5/2016 13:08,Wallet
TXN14791,IE,Windows Phone,Sale,Durgapur,West Bengal,Failed,Apple,Electronics,iPad,248161.2602,2/23/2016 17:08,Net Banking
TXN10671,UC Browser,Android,Sale,Chandigarh,Punjab,Success,Pepperfry,Lifestyle,Furniture,92872.27165,2/5/2016 0:08,Net Banking
TXN10946,Mobile App,Android,Sale,Mau,Uttar Pradesh,Cancelled,Micromax ,Electronics,TV,67228.06317,2/5/2016 21:08,Credit Card
TXN22037,Firefox,Windows PC,Sale,Chennai,Tamil Nadu,Success,AMBN Amro,Financial Products,Mutual Fund,125662.7872,3/28/2016 12:08,Wallet
TXN18439,UC Browser,Windows Phone,Refund,Meerut,Uttar Pradesh,Cancelled,One Plus,Electronics,Mobiles,25701.62592,3/12/2016 12:08,Credit Card
TXN10615,UC Browser,Android,Sale,Indore,Madhya Pradesh,Success,Samsung,Electronics,Laptops,119816.2722,2/4/2016 18:08,Wallet
TXN22172,UC Browser,Android,Sale,Bhopal,Madhya Pradesh,Success,AskMeGrocery,Grocery,Grocery,2435.58,3/29/2016 13:08,Debit Card
TXN25208,Chrome,Windows PC,Refund,Indore,Madhya Pradesh,Success,Star Heath Insurance,Insurance,Health,38062.6218,4/12/2016 22:08,Debit Card
TXN13638,Chrome,Windows PC,Sale,Vadodara,Gujarat,Failed,Dell,Electronics,Desktops,76923.31303,2/18/2016 21:08,Debit Card
TXN15914,Mobile App,Windows Phone,Sale,Kochi,Kerala,Success,Baniya Babu.com,Grocery,Grocery,752.661315,2/28/2016 13:08,Credit Card
TXN13440,Firefox,Windows PC,Sale,Mysore,Karnataka,Success,Sony,Electronics,Laptops,77769.98705,2/17/2016 19:08,Credit Card
